# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 01.01.2023 по 31.01.2023, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.01.2023 03:00";"-2.4";"742.1";"756.2";"-1.4";"84";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"19.0";"-4.7";"";"";"";"";"";"";
"30.01.2023 00:00";"-2.3";"743.5";"757.6";"-0.9";"83";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"-4.8";"";"";"";"";"";"";
"29.01.2023 21:00";"-2.1";"744.4";"758.5";"-0.5";"78";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-1.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-5.5";"0.1";"12";"";"";"";"";
"29.01.2023 18:00";"-1.9";"744.9";"759.1";"-0.7";"76";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-5.7";"Осадков нет";"12";"";"";"";"";
"29.01.2023 15:00";"-1.5";"745.6";"759.7";"-1.6";"67";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"-7.0";"";"";"";"";"";"";
"29.01.2023 12:00";"-1.9";"747.2";"761.4";"-0.9";"67";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"-7.2";"";"";"";"";"";"";
"29.01.2023 09:00";"-3.0";"748.1";"762.4";"-1.1";"75";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"-3.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"-6.9";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"23.0";
"29.01.2023 06:00";"-3.3";"749.2";"763.5";"-1.0";"78";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"-3.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-6.6";"Следы осадков";"12";"";"";"";"";
"29.01.2023 03:00";"-2.8";"750.2";"764.5";"-1.3";"84";"Штиль, безветрие";"0";"";"";"100%.";"Морось (незамерзающая) или снежные зерна неливневые. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"15.0";"-5.1";"";"";"";"";"";"";
"29.01.2023 00:00";"-2.6";"751.5";"765.7";"-1.0";"86";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-4.7";"";"";"";"";"";"";
"28.01.2023 21:00";"-2.8";"752.5";"766.8";"-0.7";"86";"Штиль, безветрие";"0";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-2.7";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"10.0";"-4.9";"Следы осадков";"12";"";"";"";"";
"28.01.2023 18:00";"-2.9";"753.2";"767.5";"-0.7";"82";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"13.0";"-5.5";"Следы осадков";"12";"";"";"";"";
"28.01.2023 15:00";"-3.1";"753.9";"768.3";"-1.0";"81";"Ветер, дующий с севера";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"15.0";"-5.9";"";"";"";"";"";"";
"28.01.2023 12:00";"-3.7";"754.9";"769.3";"0.1";"83";"Ветер, дующий с северо-северо-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"16.0";"-6.2";"";"";"";"";"";"";
"28.01.2023 09:00";"-3.8";"754.8";"769.2";"0.5";"89";"Ветер, дующий с севера";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.8";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"19.0";"-5.3";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"23.0";
"28.01.2023 06:00";"-2.8";"754.3";"768.7";"0.3";"92";"Ветер, дующий с севера";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-2.8";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"20.0";"-4.0";"0.2";"12";"";"";"";"";
"28.01.2023 03:00";"-1.9";"754.0";"768.4";"0.6";"92";"Ветер, дующий с севера";"2";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"7.0";"-3.1";"";"";"";"";"";"";
"28.01.2023 00:00";"-1.5";"753.4";"767.7";"0.6";"93";"Штиль, безветрие";"0";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"100-200";"";"";"";"-2.5";"";"";"";"";"";"";
"27.01.2023 21:00";"-2.0";"752.8";"767.2";"0.5";"91";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"-1.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"300-600";"Высокослоистые просвечивающие.";"";"6.0";"-3.3";"0.3";"12";"";"";"";"";
"27.01.2023 18:00";"-1.9";"752.3";"766.6";"0.9";"86";"Ветер, дующий с западо-юго-запада";"1";"";"";"90  или более, но не 100%";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"8.0";"-3.9";"0.1";"12";"";"";"";"";
"27.01.2023 15:00";"-1.7";"751.4";"765.7";"0.2";"81";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"-4.5";"";"";"";"";"";"";
"27.01.2023 12:00";"-2.5";"751.2";"765.5";"0.4";"83";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"20.0";"-5.1";"";"";"";"";"";"";
"27.01.2023 09:00";"-3.3";"750.8";"765.1";"0.5";"87";"Ветер, дующий с юго-запада";"1";"";"";"100%.";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.3";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"12.0";"-5.2";"Следы осадков";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"22.0";
"27.01.2023 06:00";"-2.9";"750.3";"764.5";"-0.3";"84";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";" ";"";"";"-2.9";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"-5.2";"0.1";"12";"";"";"";"";
"27.01.2023 03:00";"-2.4";"750.6";"764.9";"-0.1";"85";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"18.0";"-4.6";"";"";"";"";"";"";
"27.01.2023 00:00";"-1.8";"750.7";"765.0";"-0.4";"84";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"18.0";"-4.2";"";"";"";"";"";"";
"26.01.2023 21:00";"-1.7";"751.1";"765.4";"-0.2";"90";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";"Дымка.  Диаметр отложения при гололеде составляет 1 мм.";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-1.1";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"9.0";"-3.2";"0.1";"12";"";"";"";"";
"26.01.2023 18:00";"-1.2";"751.3";"765.5";"0.0";"87";"Ветер, дующий с юга";"1";"";"";"100%.";"Дождь незамерзающий с перерывами слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"3.5";"-3.1";"0.1";"12";"";"";"";"";
"26.01.2023 15:00";"-1.5";"751.3";"765.6";"-0.9";"86";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"11.0";"-3.5";"";"";"";"";"";"";
"26.01.2023 12:00";"-1.4";"752.2";"766.5";"-0.6";"79";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"-4.6";"";"";"";"";"";"";
"26.01.2023 09:00";"-2.3";"752.8";"767.1";"-0.1";"81";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";" ";"";"";"-3.0";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"-5.1";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"22.0";
"26.01.2023 06:00";"-2.5";"752.9";"767.2";"-0.7";"83";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";" ";"";"";"-3.0";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"-5.1";"Осадков нет";"12";"";"";"";"";
"26.01.2023 03:00";"-2.7";"753.6";"767.9";"-1.0";"83";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-5.2";"";"";"";"";"";"";
"26.01.2023 00:00";"-2.6";"754.6";"769.0";"-0.9";"82";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"-5.3";"";"";"";"";"";"";
"25.01.2023 21:00";"-1.5";"755.5";"769.9";"-0.9";"84";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"";"-1.0";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"19.0";"-3.9";"Осадков нет";"12";"";"";"";"";
"25.01.2023 18:00";"-1.2";"756.4";"770.8";"-1.2";"80";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"19.0";"-4.2";"Осадков нет";"12";"";"";"";"";
"25.01.2023 15:00";"-1.3";"757.6";"771.9";"-1.5";"80";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"-4.4";"";"";"";"";"";"";
"25.01.2023 12:00";"-1.1";"759.1";"773.5";"-0.2";"80";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"-4.1";"";"";"";"";"";"";
"25.01.2023 09:00";"-1.4";"759.3";"773.7";"-0.4";"80";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"-1.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"20.0";"-4.5";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"23.0";
"25.01.2023 06:00";"-1.3";"759.7";"774.1";"-0.6";"77";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"-1.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-4.9";"Осадков нет";"12";"";"";"";"";
"25.01.2023 03:00";"-0.9";"760.3";"774.7";"-0.1";"82";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"20.0";"-3.7";"";"";"";"";"";"";
"25.01.2023 00:00";"-0.9";"760.4";"774.8";"-0.5";"83";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"20.0";"-3.5";"";"";"";"";"";"";
"24.01.2023 21:00";"-0.7";"760.9";"775.3";"-0.5";"81";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"-0.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"20.0";"-3.6";"Осадков нет";"12";"";"";"";"";
"24.01.2023 18:00";"-0.4";"761.4";"775.8";"-1.0";"77";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"20.0";"-4.0";"Осадков нет";"12";"";"";"";"";
"24.01.2023 15:00";"-0.1";"762.4";"776.8";"-1.4";"74";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-4.2";"";"";"";"";"";"";
"24.01.2023 12:00";"-1.0";"763.8";"778.2";"-0.4";"81";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-3.9";"";"";"";"";"";"";
"24.01.2023 09:00";"-2.2";"764.2";"778.7";"-0.6";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-2.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"20.0";"-4.5";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"23.0";
"24.01.2023 06:00";"-2.0";"764.8";"779.4";"-0.6";"82";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"-2.3";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"-4.7";"Осадков нет";"12";"";"";"";"";
"24.01.2023 03:00";"-2.1";"765.4";"780.0";"-0.6";"83";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"18.0";"-4.7";"";"";"";"";"";"";
"24.01.2023 00:00";"-2.3";"766.0";"780.6";"-0.3";"83";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"14.0";"-4.8";"";"";"";"";"";"";
"23.01.2023 21:00";"-2.1";"766.3";"780.8";"-0.3";"78";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"";"-2.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"16.0";"-5.5";"0.1";"12";"";"";"";"";
